element,wavelength,intensity,acc,state,source,note,reference,unit
Sm,3746.588416034325,600,,1,,P,K35,A
Sm,3757.5374112258523,500,,1,,,K35,A
Sm,3774.462043219245,250,,1,,d,K35,A
Sm,3835.623802972546,400,,1,,,K35,A
Sm,3854.4479675795337,300,,1,,,K35,A
Sm,3855.7093137470233,300,,1,,,K35,A
Sm,3859.891461600435,250,,1,,,K35,A
Sm,3953.067070822537,300,,1,,,K35,A
Sm,3975.851343084596,400,,1,,,K35,A
Sm,3991.215574824125,400,,1,,P,K35,A
Sm,4283.479369100177,400,,1,,,K35,A
Sm,4284.104542476481,300,,1,,,K35,A
Sm,4298.0184016964795,1000,,1,,P,K35,A
Sm,4320.8117260500485,300,,1,,,K35,A
Sm,4331.300637296094,300,,1,,,K35,A
Sm,4337.423336950286,600,,1,,P,K35,A
Sm,4364.205774038784,300,,1,,P,K35,A
Sm,4381.721639947609,300,,1,,,K35,A
Sm,4398.64434256079,200,,1,,,K35,A
Sm,4402.4784082016895,250,,1,,,K35,A
Sm,4404.434952032234,200,,1,,d,K35,A
Sm,4412.892303012549,200,,1,,,K35,A
Sm,4420.641457439922,300,,1,,,K35,A
Sm,4430.976331212522,300,,1,,,K35,A
Sm,4443.127710761433,300,,1,,,K35,A
Sm,4443.591839859533,300,,1,,,K35,A
Sm,4446.469640346697,400,,1,,,K35,A
Sm,4472.209801984005,500,,1,,P,K35,A
Sm,4500.439659931425,250,,1,,,K35,A
Sm,4535.14032411571,200,,1,,,K35,A
Sm,4582.93564403847,200,,1,,,K35,A
Sm,4583.083685311219,300,,1,,,K35,A
Sm,4646.777451324661,200,,1,,,K35,A
Sm,4650.864591926957,250,,1,,,K35,A
Sm,4664.933518681489,200,,1,,,K35,A
Sm,4672.12652662249,300,,1,,,K35,A
Sm,4690.117549765817,250,,1,,,K35,A
Sm,4717.489194485204,500,,1,,P,K35,A
Sm,4729.818638981553,500,,1,,P,K35,A
Sm,4761.674541338838,500,,1,,P,K35,A
Sm,4784.513926344406,400,,1,,,K35,A
Sm,4787.275698561432,200,,1,,,K35,A
Sm,4843.128321495783,600,,1,,P,K35,A
Sm,4885.41015590237,500,,1,,P,K35,A
Sm,4911.846558445109,400,,1,,,K35,A
Sm,4920.434963827396,250,,1,,,K35,A
Sm,5045.76309256974,250,,1,,,K35,A
Sm,5072.691647005258,300,,1,,,K35,A
Sm,5118.666549725311,300,,1,,,K35,A
Sm,5123.641946434192,200,,1,,,K35,A
Sm,5176.939912937343,300,,1,,,K35,A
Sm,5272.950893825659,250,,1,,,K35,A
