element,wavelength,intensity,acc,state,source,note,reference,unit
Sm,3255.367380735703,200,,2,,,K35,A
Sm,3307.3923233169908,400,,2,,,K35,A
Sm,3308.02149218465,200,,2,,,K35,A
Sm,3311.6664706051247,200,,2,,,K35,A
Sm,3322.187295806203,300,,2,,,K35,A
Sm,3341.592510993741,200,,2,,,K35,A
Sm,3366.883315984336,300,,2,,,K35,A
Sm,3383.423771321459,300,,2,,,K35,A
Sm,3409.7078588039167,200,,2,,,K35,A
Sm,3569.3460905502207,1000,,2,,P,K35,A
Sm,3593.6847075394435,1000,,2,,P,K35,A
Sm,3605.3698866692885,400,,2,,,K35,A
Sm,3610.5773038905127,800,,2,,P,K35,A
Sm,3622.318500348277,400,,2,,,K35,A
Sm,3628.1050762285063,200,,2,,,K35,A
Sm,3632.218196579699,200,,2,,,K35,A
Sm,3635.3830587577872,800,,2,,P,K35,A
Sm,3662.4654407383364,500,,2,,,K35,A
Sm,3671.943025819579,500,,2,,,K35,A
Sm,3695.0983452946994,250,,2,,P,K35,A
Sm,3709.7673513784534,200,,2,,,K35,A
Sm,3719.993145230492,200,,2,,,K35,A
Sm,3722.9639570877584,200,,2,,,K35,A
Sm,3729.5877675242764,400,,2,,,K35,A
Sm,3732.3775301507685,500,,2,,,K35,A
Sm,3737.100821501907,400,,2,,,K35,A
Sm,3738.262139038315,200,,2,,,K35,A
Sm,3740.2386795076814,700,,2,,P,K35,A
Sm,3740.3187013897864,700,,2,,P,K35,A
Sm,3742.4102733540376,200,,2,,,K35,A
Sm,3744.9909791325244,300,,2,,,K35,A
Sm,3746.728454336152,600,,2,,P,K35,A
Sm,3756.4021006016346,200,,2,,,K35,A
Sm,3758.6557172088746,300,,2,,,K35,A
Sm,3761.821583491776,500,,2,,,K35,A
Sm,3765.4985897515544,250,,2,,,K35,A
Sm,3774.553068138147,250,,2,,d,K35,A
Sm,3779.267358818128,250,,2,,,K35,A
Sm,3789.260095277418,400,,2,,,K35,A
Sm,3795.1076970165614,400,,2,,,K35,A
Sm,3798.8677270972785,400,,2,,,K35,A
Sm,3802.0255923058116,200,,2,,,K35,A
Sm,3827.347533219909,400,,2,,,K35,A
Sm,3832.6479867943326,250,,2,,,K35,A
Sm,3844.650279116802,400,,2,,,K35,A
Sm,3855.3622184879027,600,,2,,,K35,A
Sm,3857.0546829883356,200,,2,,,K35,A
Sm,3872.936042791203,200,,2,,,K35,A
Sm,3881.926511782034,200,,2,,,K35,A
Sm,3886.447753662652,900,,2,,P,K35,A
Sm,3898.1419665406656,400,,2,,,K35,A
Sm,3904.583736815678,300,,2,,,K35,A
Sm,3923.5689560478195,600,,2,,P,K35,A
Sm,3929.4525740756285,500,,2,,,K35,A
Sm,3943.0513148081122,300,,2,,,K35,A
Sm,3949.292031965271,200,,2,,,K35,A
Sm,3964.1631249692637,400,,2,,,RAVS90,A
Sm,3964.213138737418,400,,2,,,RAVS90,A
Sm,3971.713203617241,200,,2,,,K35,A
Sm,3972.5824429583886,400,,2,,,K35,A
Sm,3977.4567851884885,250,,2,,,K35,A
Sm,3977.6168292621765,250,,2,,,K35,A
Sm,3980.387592317324,250,,2,,,K35,A
Sm,3984.326677218384,200,,2,,,K35,A
Sm,3987.871653669877,200,,2,,,K35,A
Sm,3991.192568486266,400,,2,,,K35,A
Sm,3994.499479523491,200,,2,,,K35,A
Sm,4024.4307289530702,200,,2,,,K35,A
Sm,4036.31300559299,200,,2,,,K35,A
Sm,4043.928106032987,200,,2,,,K35,A
Sm,4044.110156251958,200,,2,,,K35,A
Sm,4048.366330391716,200,,2,,,K35,A
Sm,4065.761130324424,300,,2,,,RAVS90,A
Sm,4065.7811358459317,300,,2,,,RAVS90,A
Sm,4067.948734117169,200,,2,,,K35,A
Sm,4077.059249020758,200,,2,,,K35,A
Sm,4093.484784577544,250,,2,,,K35,A
Sm,4108.499932226335,200,,2,,,K35,A
Sm,4108.609962625516,200,,2,,,K35,A
Sm,4119.777048270088,500,,2,,,K35,A
Sm,4151.065698031323,200,,2,,,K35,A
Sm,4153.444355862592,300,,2,,,K35,A
Sm,4170.718134068626,200,,2,,,K35,A
Sm,4189.373296428238,250,,2,,,K35,A
Sm,4204.30042865038,250,,2,,,K35,A
Sm,4221.913306051156,200,,2,,,K35,A
Sm,4226.583599664501,250,,2,,,K35,A
Sm,4230.960812212942,200,,2,,,K35,A
Sm,4238.003763440204,300,,2,,,K35,A
Sm,4257.657209867206,500,,2,,P,K35,A
Sm,4263.942952255019,300,,2,,,K35,A
Sm,4280.948667294999,300,,2,,,K35,A
Sm,4281.0176864346695,300,,2,,,K35,A
Sm,4282.059975474645,500,,2,,P,K35,A
Sm,4310.290806512184,200,,2,,,K35,A
Sm,4320.217561154416,500,,2,,,K35,A
Sm,4330.300359639094,400,,2,,,K35,A
Sm,4335.438786019543,300,,2,,,K35,A
Sm,4349.090576309793,250,,2,,,K35,A
Sm,4363.333531771086,200,,2,,,K35,A
Sm,4379.534032144104,200,,2,,,K35,A
Sm,4392.159540341962,400,,2,,,K35,A
Sm,4404.364932569665,200,,2,,d,K35,A
Sm,4421.8357895156905,400,,2,,,K35,A
Sm,4422.447959728109,250,,2,,,K35,A
Sm,4425.6498500358975,700,,2,,P,K35,A
Sm,4435.198505404523,400,,2,,,K35,A
Sm,4435.636627251751,400,,2,,,K35,A
Sm,4454.045747903235,300,,2,,,K35,A
Sm,4455.948277201012,300,,2,,,K35,A
Sm,4459.837359226525,250,,2,,,K35,A
Sm,4468.664815481179,500,,2,,P,K35,A
Sm,4479.982965316781,200,,2,,,K35,A
Sm,4520.970377101168,200,,2,,,K35,A
Sm,4545.292152447284,200,,2,,,K35,A
Sm,4643.606566470346,200,,2,,,K35,A
Sm,4670.775149367061,200,,2,,,K35,A
Sm,4675.979602301895,250,,2,,,K35,A
