element,wavelength,intensity,acc,state,source,note,reference,unit
Sr,4031.581700778228,20,,1,,,MCS75,A
Sr,4608.69182608378,1000,,1,,P,MCS75,A
Sr,4723.673922248126,50,,1,,,MCS75,A
Sr,4743.31941139145,30,,1,,,MCS75,A
Sr,4785.731266720513,20,,1,,,MCS75,A
Sr,4813.2989762988045,70,,1,,P,MCS75,A
Sr,4833.504628775094,60,,1,,,MCS75,A
Sr,4873.925940924016,50,,1,,P,MCS75,A
Sr,4877.757013372365,30,,1,,,MCS75,A
Sr,4963.721090887146,120,,1,,P,MCS75,A
Sr,4969.402683105946,20,,1,,P,MCS75,A
Sr,5223.73405979292,20,,1,,,MCS75,A
Sr,5226.6448777913965,30,,1,,,MCS75,A
Sr,5230.8060472043435,30,,1,,,MCS75,A
Sr,5240.088656066116,40,,1,,,MCS75,A
Sr,5258.443815444728,70,,1,,P,MCS75,A
Sr,5452.438398200406,25,,1,,,MCS75,A
Sr,5482.446849756684,110,,1,,P,MCS75,A
Sr,5505.783423712164,50,,1,,,MCS75,A
Sr,5523.448400806509,40,,1,,,MCS75,A
Sr,5536.4320593982075,30,,1,,,MCS75,A
Sr,5541.673536472912,30,,1,,,MCS75,A
Sr,6410.339062276181,140,,1,,P,MCS75,A
Sr,6505.896145533279,80,,1,,P,MCS75,A
Sr,6552.169264892938,25,,1,,,MCS75,A
Sr,6619.188271050839,50,,1,,,MCS75,A
Sr,6793.027596666966,30,,1,,P,MCS75,A
Sr,6880.382396332029,70,,1,,P,MCS75,A
Sr,6894.596432448688,20,,1,,P,MCS75,A
Sr,7072.156869561558,80,,1,,P,MCS75,A
Sr,7311.534916629121,40,,1,,,MCS75,A
