element,wavelength,intensity,acc,state,source,note,reference,unit
Sr,2153.554533012208,30,,2,,P,MCS75,A
Sr,2166.677358825133,30,,2,,P,MCS75,A
Sr,3381.7343160784812,14,,2,,P,MCS75,A
Sr,3465.5069347322865,20,,2,,P,MCS75,A
Sr,4078.9247640530293,1000,,2,,P,MCS75,A
Sr,4163.038009396079,4,,2,,,MCS75,A
Sr,4216.772882364552,700,,2,,P,MCS75,A
Sr,4306.727817924081,7,,2,,P,MCS75,A
Sr,8691.42805372818,4,,2,,,NOL73,A
Sr,10039.563144696489,7,,2,,,S38a,A
Sr,10330.296282189829,20,,2,,P,S38a,A
Sr,10918.034427986622,4,,2,,,S38a,A
