element,wavelength,intensity,acc,state,source,note,reference,unit
Ta,2280.5927842053625,80,,1,,,MCS75,A
Ta,2358.0608156665794,100,,1,,,MCS75,A
Ta,2361.8517107075577,100,,1,,,MCS75,A
Ta,2372.344193685436,120,,1,,,MCS75,A
Ta,2428.417596288374,140,,1,,,MCS75,A
Ta,2475.408985738374,250,,1,,,MCS75,A
Ta,2485.7415076811862,200,,1,,,MCS75,A
Ta,2491.252855356064,200,,1,,,MCS75,A
Ta,2505.246284699072,250,,1,,,MCS75,A
Ta,2508.2470214746018,250,,1,,,MCS75,A
Ta,2513.448299697146,90,,1,,,MCS75,A
Ta,2527.151674165562,500,,1,,d,MCS75,A
Ta,2547.606729184096,90,,1,,,MCS75,A
Ta,2551.877787321592,200,,1,,d,MCS75,A
Ta,2555.858774399723,90,,1,,,MCS75,A
Ta,2560.2398615713187,500,,1,,P,MCS75,A
Ta,2562.9105247530642,200,,1,,,MCS75,A
Ta,2574.353370093764,150,,1,,,MCS75,A
Ta,2574.6034323423078,150,,1,,,MCS75,A
Ta,2578.5944262236335,130,,1,,,MCS75,A
Ta,2593.898244140951,150,,1,,,MCS75,A
Ta,2596.078788996335,200,,1,,,MCS75,A
Ta,2609.4521352301613,500,,1,,P,MCS75,A
Ta,2612.1628144438646,120,,1,,d,MCS75,A
Ta,2616.2838476589286,130,,1,,,MCS75,A
Ta,2616.483897833635,120,,1,,,MCS75,A
Ta,2637.499178141116,200,,1,,,MCS75,A
Ta,2637.7292360477486,300,,1,,,MCS75,A
Ta,2647.0515843512776,200,,1,,,MCS75,A
Ta,2647.2016221748263,250,,1,,,MCS75,A
Ta,2648.3018995753614,900,,1,,P,MCS75,A
Ta,2654.103363039637,1000,,1,,P,MCS75,A
Ta,2657.44420640474,700,,1,,P,MCS75,A
Ta,2662.1754015091183,600,,1,,P,MCS75,A
Ta,2669.4572426282343,250,,1,,,MCS75,A
Ta,2685.121210002105,250,,1,,,MCS75,A
Ta,2692.1529940403266,130,,1,,,MCS75,A
Ta,2693.2432708205783,100,,1,,,MCS75,A
Ta,2697.6543910880214,90,,1,,,MCS75,A
Ta,2699.14476975352,400,,1,,P,MCS75,A
Ta,2707.536903489101,200,,1,,,MCS75,A
Ta,2710.977779085595,500,,1,,,MCS75,A
Ta,2715.518935321189,1000,,1,,P,MCS75,A
Ta,2718.0295748779536,90,,1,,,MCS75,A
Ta,2721.610487461787,200,,1,,,MCS75,A
Ta,2728.632278253497,150,,1,,,MCS75,A
Ta,2747.5371081016856,200,,1,,,MCS75,A
Ta,2749.6376455028644,500,,1,,,MCS75,A
Ta,2750.687914259082,300,,1,,,MCS75,A
Ta,2759.1700861355107,400,,1,,P,MCS75,A
Ta,2776.7445936471945,300,,1,,,MCS75,A
Ta,2788.5576290378704,150,,1,,,MCS75,A
Ta,2797.2098550362484,250,,1,,,MCS75,A
Ta,2802.9413308777025,150,,1,,,MCS75,A
Ta,2807.1724210200655,150,,1,,,MCS75,A
Ta,2807.4524932000663,200,,1,,,MCS75,A
Ta,2843.701855107787,100,,1,,,MCS75,A
Ta,2845.132225308172,250,,1,,,MCS75,A
Ta,2846.2325101175184,110,,1,,c,MCS75,A
Ta,2849.403331079349,200,,1,,,MCS75,A
Ta,2851.3738414109316,600,,1,,P,MCS75,A
Ta,2851.8639683632814,700,,1,,P,MCS75,A
Ta,2862.866820092308,140,,1,,,MCS75,A
Ta,2869.5385509192533,120,,1,,,MCS75,A
