element,wavelength,intensity,acc,state,source,note,reference,unit
Tc,2615.053539122351,150,,1,,,BMC67,A
Tc,2616.693950518928,100,,1,,,BMC67,A
Tc,2709.6274354139327,100,,1,,,BMC67,A
Tc,2727.542000082801,100,,1,,,BMC67,A
Tc,2782.9161789000837,100,,1,,,BMC67,A
Tc,2803.681521548679,100,,1,,,BMC67,A
Tc,2859.9960757235067,200,,1,,c,BMC67,A
Tc,2888.6235087829195,100,,1,,,BMC67,A
Tc,2897.2357492563515,100,,1,,,BMC67,A
Tc,2914.050129114098,100,,1,,,BMC67,A
Tc,2929.1040565556536,100,,1,,,BMC67,A
Tc,3100.049023495026,100,,1,,,BMC67,A
Tc,3123.595265304847,70,,1,,,BMC67,A
Tc,3132.1875456347184,150,,1,,,BMC67,A
Tc,3174.2687332859914,300,,1,,P,BMC67,A
Tc,3183.3411494210086,200,,1,,P,BMC67,A
Tc,3184.081346611331,200,,1,,P,BMC67,A
Tc,3467.327427256817,500,,1,,Pc,BMC67,A
Tc,3476.639947344562,100,,1,,,BMC67,A
Tc,3487.2828287355887,100,,1,,c,BMC67,A
Tc,3501.756749499749,100,,1,,,BMC67,A
Tc,3503.75729161169,80,,1,,c,BMC67,A
Tc,3526.893564538177,80,,1,,,BMC67,A
Tc,3539.7470521651235,80,,1,,,BMC67,A
Tc,3542.837891104148,200,,1,,c,BMC67,A
Tc,3550.7900500342066,600,,1,,c,BMC67,A
Tc,3551.7102999184463,400,,1,,c,BMC67,A
Tc,3561.39292970711,80,,1,,,BMC67,A
Tc,3569.9252479321963,80,,1,,,BMC67,A
Tc,3581.1382957209116,100,,1,,,BMC67,A
Tc,3582.338622059315,60,,1,,,BMC67,A
Tc,3583.1588450661798,80,,1,,,BMC67,A
Tc,3583.7089946480255,200,,1,,,BMC67,A
Tc,3589.0204389604437,400,,1,,,BMC67,A
Tc,3596.74253932885,100,,1,,c,BMC67,A
Tc,3608.405712847943,100,,1,,c,BMC67,A
Tc,3609.355971474023,200,,1,,c,BMC67,A
Tc,3628.451170492607,100,,1,,c,BMC67,A
Tc,3636.2432931222334,300,,1,,c,BMC67,A
Tc,3637.1635438460403,1000,,1,,Pc,BMC67,A
Tc,3639.314129810298,100,,1,,,BMC67,A
Tc,3640.474445977985,90,,1,,,BMC67,A
Tc,3649.136806764004,100,,1,,c,BMC67,A
Tc,3652.5677420187767,60,,1,,,BMC67,A
Tc,3659.689683798363,100,,1,,c,BMC67,A
Tc,3680.255293778028,100,,1,,,BMC67,A
Tc,3685.846819774993,500,,1,,,BMC67,A
Tc,3704.9420333656594,70,,1,,,BMC67,A
Tc,3713.374336753011,80,,1,,,BMC67,A
Tc,3719.9761405837344,800,,1,,P,BMC67,A
Tc,3724.7874554502914,120,,1,,,BMC67,A
Tc,3725.517655022673,150,,1,,,BMC67,A
Tc,3727.468188151249,400,,1,,,BMC67,A
Tc,3747.273603441394,100,,1,,,BMC67,A
Tc,3747.9637922207066,500,,1,,,BMC67,A
Tc,3753.25523967218,100,,1,,,BMC67,A
Tc,3755.495852657939,400,,1,,,BMC67,A
Tc,3759.6669939169633,100,,1,,,BMC67,A
Tc,3762.9378889702775,200,,1,,,BMC67,A
Tc,3769.899794355878,500,,1,,,BMC67,A
Tc,3772.1604131513473,300,,1,,,BMC67,A
Tc,3780.502697061759,200,,1,,,BMC67,A
Tc,3781.8130558611483,300,,1,,c,BMC67,A
Tc,3798.907738059155,100,,1,,,BMC67,A
Tc,3833.967348647105,60,,1,,,BMC67,A
Tc,3838.708649132137,150,,1,,,BMC67,A
Tc,3842.4596781289183,80,,1,,,BMC67,A
Tc,3847.1209569907573,80,,1,,,BMC67,A
Tc,3869.3970710850094,100,,1,,,BMC67,A
Tc,3881.88049914426,60,,1,,c,BMC67,A
Tc,3900.9957507545605,60,,1,,,BMC67,A
Tc,3947.7486072590054,400,,1,,c,BMC67,A
Tc,3948.2687503855095,200,,1,,,BMC67,A
Tc,3986.159181964185,500,,1,,Pc,BMC67,A
Tc,3995.701810779022,100,,1,,,BMC67,A
Tc,4013.19663195576,50,,1,,,BMC67,A
Tc,4018.4180712839484,30,,1,,,BMC67,A
Tc,4021.9590474884903,100,,1,,,BMC67,A
Tc,4032.832045587436,1000,,1,,Pc,BMC67,A
Tc,4040.454147776976,50,,1,,,BMC67,A
Tc,4050.3168685227806,500,,1,,c,BMC67,A
Tc,4089.9278022435547,500,,1,,,BMC67,A
Tc,4096.889724999331,700,,1,,P,BMC67,A
Tc,4111.443745569462,50,,1,,,BMC67,A
Tc,4116.305088826627,500,,1,,,BMC67,A
Tc,4120.496247023533,30,,1,,,BMC67,A
Tc,4125.44761544322,400,,1,,,BMC67,A
Tc,4129.498735174974,50,,1,,,BMC67,A
Tc,4141.081937349131,40,,1,,,BMC67,A
Tc,4146.183347899713,300,,1,,,BMC67,A
Tc,4146.313383857046,150,,1,,,BMC67,A
Tc,4166.849063662342,500,,1,,,BMC67,A
Tc,4170.92018997136,50,,1,,,BMC67,A
Tc,4171.510353253046,200,,1,,,BMC67,A
Tc,4173.770978724528,250,,1,,,BMC67,A
Tc,4177.522016632856,50,,1,,,BMC67,A
Tc,4187.754848479277,40,,1,,,BMC67,A
Tc,4239.449163919121,500,,1,,Pc,BMC67,A
Tc,4263.53583939789,800,,1,,P,BMC67,A
Tc,4263.955955859808,40,,1,,,BMC67,A
Tc,4280.170451490103,30,,1,,,BMC67,A
Tc,4298.335489658007,1000,,1,,P,BMC67,A
Tc,4430.902310628083,40,,1,,,BMC67,A
Tc,4482.856765190112,40,,1,,,BMC67,A
Tc,4488.388304909265,120,,1,,,BMC67,A
Tc,4517.316359428817,40,,1,,,BMC67,A
Tc,4524.178270574633,400,,1,,,BMC67,A
Tc,4540.872921178567,80,,1,,,BMC67,A
Tc,4554.196633643575,30,,1,,,BMC67,A
Tc,4558.39780440459,40,,1,,,BMC67,A
Tc,4565.88989245555,80,,1,,,BMC67,A
Tc,4579.8037709190585,40,,1,,,BMC67,A
Tc,4594.707926355058,40,,1,,,BMC67,A
Tc,4618.22448496061,40,,1,,,BMC67,A
Tc,4631.938310733877,40,,1,,,BMC67,A
Tc,4638.870244849266,120,,1,,,BMC67,A
Tc,4649.703267828097,80,,1,,,BMC67,A
Tc,4661.586584450744,80,,1,,c,BMC67,A
Tc,4670.679122560148,80,,1,,,BMC67,A
Tc,4708.309630363003,40,,1,,,BMC67,A
Tc,4719.162661969587,80,,1,,,BMC67,A
Tc,4720.673083916501,150,,1,,c,BMC67,A
Tc,4742.0090452157365,400,,1,,,BMC67,A
Tc,4754.122430496061,40,,1,,,BMC67,A
Tc,4772.947692628802,150,,1,,,BMC67,A
Tc,4822.161455370597,400,,1,,,BMC67,A
Tc,4835.79526966895,40,,1,,,BMC67,A
Tc,4836.815555138672,40,,1,,,BMC67,A
Tc,4855.0206494411805,800,,1,,P,BMC67,A
Tc,4868.1643281481765,400,,1,,,BMC67,A
Tc,4893.361382097704,300,,1,,,BMC67,A
Tc,4909.9560289921765,40,,1,,,BMC67,A
Tc,4911.016325932529,80,,1,,,BMC67,A
Tc,4977.805037989479,250,,1,,,BMC67,A
Tc,5097.778686821501,300,,1,,,BMC67,A
Tc,5163.327089565159,150,,1,,,BMC67,A
Tc,5176.330741830894,150,,1,,,BMC67,A
Tc,5277.0590488554735,80,,1,,,BMC67,A
Tc,5286.62173763086,70,,1,,,BMC67,A
Tc,5321.761620108241,50,,1,,,BMC67,A
Tc,5590.6573433342355,300,,1,,c,BMC67,A
Tc,5622.096207661626,200,,1,,c,BMC67,A
Tc,5643.782323402017,150,,1,,,BMC67,A
Tc,5646.593116152236,80,,1,,,BMC67,A
Tc,5726.985796935071,70,,1,,,BMC67,A
Tc,5926.202056004565,100,,1,,c,BMC67,A
Tc,5933.6641647652805,60,,1,,c,BMC67,A
Tc,6087.007520574991,80,,1,,,BMC67,A
Tc,6122.467552093869,100,,1,,,BMC67,A
Tc,6132.590416193126,100,,1,,,BMC67,A
Tc,6194.467926990656,80,,1,,,BMC67,A
Tc,6246.002515407086,60,,1,,c,BMC67,A
Tc,6457.78250737348,100,,1,,,BMC67,A
Tc,6463.814216933789,60,,1,,c,BMC67,A
Tc,7454.655626369482,60,,1,,,BMC67,A
Tc,7542.450607844084,80,,1,,,BMC67,A
Tc,7795.302589998616,80,,1,,c,BMC67,A
Tc,7819.989620559334,80,,1,,,BMC67,A
