element,wavelength,intensity,acc,state,source,note,reference,unit
Te,1822.155,500,,1,,P,MV75,A
Te,1857.296,500,,1,,P,MV75,A
Te,1994.839,500,,1,,P,MV75,A
Te,2002.7122459094187,1000,,1,,P,MV75,A
Te,2081.871574306536,250,,1,,P,MV75,A
Te,2143.534392079684,700,,1,,P,MV75,A
Te,2147.973338685185,120,,1,,P,MV75,A
Te,2160.5800428240714,14,,1,,,MV75,A
Te,2216.3582636988112,15,,1,,,MV75,A
Te,2256.244229427562,5,,1,,,MV75,A
Te,2259.7720305824814,20,,1,,P,MV75,A
Te,2266.2755108069123,5,,1,,,MV75,A
Te,2384.0439719736364,50,,1,,P,MV75,A
Te,2386.5595706365225,60,,1,,P,MV75,A
Te,2531.5407570436746,5,,1,,,MV75,A
Te,2677.969397424653,4,,1,,,MCS75,A
Te,3176.116225186601,4,,1,,,MV75,A
Te,8760.720827056686,120,,1,,,MV75,A
Te,9725.55538368553,200,,1,,P,MV75,A
Te,9871.77517715468,20,,1,,,MV75,A
Te,9959.18016344497,25,,1,,,MV75,A
Te,10054.317363120683,250,,1,,P,MV75,A
Te,10093.92868887693,150,,1,,,MV75,A
Te,10496.60385103935,30,,1,,,MV75,A
Te,10921.495418421038,70,,1,,,MV75,A
Te,11092.764434430544,400,,1,,P,MV75,A
Te,11490.548304822976,250,,1,,P,MV75,A
Te,13251.572796488232,60,,1,,,MV75,A
Te,14517.695799530973,40,,1,,,MV75,A
Te,15456.905190374626,60,,1,,,MV75,A
Te,15550.712101339766,90,,1,,,MV75,A
Te,16408.628251152542,140,,1,,,MV75,A
Te,17308.526505264246,80,,1,,,MV75,A
Te,18296.860197708374,110,,1,,,MV75,A
Te,21049.790655201454,40,,1,,,MV75,A
