element,wavelength,intensity,acc,state,source,note,reference,unit
Ti,2280.7098110432044,25,,1,,,F91,A
Ti,2306.422738684414,25,,1,,,F91,A
Ti,2530.673543005566,25,,1,,,F91,A
Ti,2542.713518019055,25,,1,,,F91,A
Ti,2594.4583840834375,25,,1,,,F91,A
Ti,2600.72395039668,30,,1,,,F91,A
Ti,2605.9542592423127,40,,1,,,F91,A
Ti,2612.1078006559114,70,,1,,,F91,A
Ti,2620.7579702261655,40,,1,,,F91,A
Ti,2641.917290580896,80,,1,,,F91,A
Ti,2645.084088442988,100,,1,,,F91,A
Ti,2647.456686476951,120,,1,,,F91,A
Ti,2803.365440124965,30,,1,,,F91,A
Ti,2912.9828508891123,60,,1,,,F91,A
Ti,2929.2310897218476,40,,1,,,F91,A
Ti,2949.151295494575,150,,1,,,F91,A
Ti,2957.0343582620485,200,,1,,,F91,A
Ti,2968.1392666173656,25,,1,,,F91,A
Ti,3120.677491264734,90,,1,,,F91,A
Ti,3124.0283802172225,25,,1,,,F91,A
Ti,3187.4232370176414,300,,1,,,F91,A
Ti,3192.9667144366886,400,,1,,,F91,A
Ti,3200.890827247662,500,,1,,,F91,A
Ti,3204.8018704462947,30,,1,,,F91,A
Ti,3215.2166496569203,30,,1,,,F91,A
Ti,3293.0764825738406,40,,1,,,F91,A
Ti,3310.5021580476478,30,,1,,,F91,A
Ti,3315.427480377846,110,,1,,,F91,A
Ti,3342.8878593135755,700,,1,,,F91,A
Ti,3355.650292409518,500,,1,,,F91,A
Ti,3359.2892717151894,40,,1,,,F91,A
Ti,3362.0080034886523,40,,1,,,F91,A
Ti,3362.285078071786,40,,1,,,F91,A
Ti,3371.4555471853987,140,,1,,,F91,A
Ti,3372.4738214234003,600,,1,,,F91,A
Ti,3378.509447208499,150,,1,,,F91,A
Ti,3378.598471192152,400,,1,,,F91,A
Ti,3380.2349120794506,40,,1,,,F91,A
Ti,3386.6856503813647,20,,1,,,F91,A
Ti,3386.96672613659,200,,1,,,F91,A
Ti,3481.576283608945,30,,1,,,F91,A
Ti,3548.0973189056494,25,,1,,,F91,A
Ti,3599.796370129166,25,,1,,,F91,A
Ti,3611.239484126137,80,,1,,,F91,A
Ti,3636.5553781493395,600,,1,,P,F91,A
Ti,3643.769343859639,800,,1,,P,F91,A
Ti,3647.292304011218,25,,1,,,F91,A
Ti,3654.5932942289696,900,,1,,P,F91,A
Ti,3655.688592848614,40,,1,,,F91,A
Ti,3659.1945487846847,80,,1,,,F91,A
Ti,3661.729239971308,50,,1,,,F91,A
Ti,3670.0655136439727,50,,1,,,F91,A
Ti,3672.774252584993,80,,1,,,F91,A
Ti,3691.022232479036,80,,1,,,F91,A
Ti,3711.0707074217244,40,,1,,,F91,A
Ti,3718.5067390594286,60,,1,,,F91,A
Ti,3723.687154734146,40,,1,,,F91,A
Ti,3725.6867012257526,80,,1,,,F91,A
Ti,3730.9251331057058,400,,1,,,F91,A
Ti,3742.1822109858367,400,,1,,,F91,A
Ti,3753.983438887587,700,,1,,P,F91,A
Ti,3754.758650969683,80,,1,,,F91,A
Ti,3772.78158319113,80,,1,,,F91,A
Ti,3787.1765246303585,110,,1,,,F91,A
Ti,3867.5955764818286,30,,1,,,F91,A
Ti,3876.4159983910226,30,,1,,,F91,A
Ti,3884.0520956105906,60,,1,,,F91,A
Ti,3902.125061104217,25,,1,,,F91,A
Ti,3905.9511126283583,300,,1,,,F91,A
Ti,3915.5037384975412,60,,1,,,F91,A
Ti,3922.5936878691105,40,,1,,,F91,A
Ti,3925.698541665326,140,,1,,,F91,A
Ti,3931.0480128755457,110,,1,,,F91,A
Ti,3948.9479372787328,140,,1,,,F91,A
Ti,3949.849185282263,600,,1,,P,F91,A
Ti,3957.5152950701613,600,,1,,P,F91,A
Ti,3959.3828090940733,700,,1,,P,F91,A
Ti,3964.0340894475125,120,,1,,,F91,A
Ti,3965.4524799181327,120,,1,,,F91,A
Ti,3982.949297848418,600,,1,,P,F91,A
Ti,3983.668495934586,70,,1,,,F91,A
Ti,3990.9485012500795,700,,1,,P,F91,A
Ti,3999.8289479292075,1000,,1,,P,F91,A
Ti,4010.122784716534,120,,1,,,F91,A
Ti,4010.8519856989383,25,,1,,,F91,A
Ti,4025.7710985226386,150,,1,,,F91,A
Ti,4031.712736913727,25,,1,,h,F91,A
Ti,4056.219497147203,40,,1,,,F91,A
Ti,4061.47194657501,50,,1,,,F91,A
Ti,4065.420036183124,25,,1,,,F91,A
Ti,4066.306280786473,25,,1,,,F91,A
Ti,4079.684973938731,110,,1,,,F91,A
Ti,4083.671074520261,40,,1,,,F91,A
Ti,4113.932433209773,30,,1,,,F91,A
Ti,4187.361739678224,50,,1,,,F91,A
Ti,4264.399078700477,40,,1,,,F91,A
Ti,4275.857255470453,30,,1,,,F91,A
Ti,4283.9695050270175,30,,1,,,F91,A
Ti,4287.275421874332,110,,1,,,F91,A
Ti,4288.674809992156,110,,1,,,F91,A
Ti,4290.343272751444,120,,1,,,F91,A
Ti,4292.20278851859,110,,1,,,F91,A
Ti,4297.023125606293,110,,1,,,F91,A
Ti,4299.940935023692,250,,1,,,F91,A
Ti,4300.478084037033,25,,1,,,F91,A
Ti,4300.9052025273495,25,,1,,,F91,A
Ti,4301.830459213526,400,,1,,,F91,A
Ti,4302.355604902348,500,,1,,,F91,A
Ti,4307.184944754814,800,,1,,P,F91,A
Ti,4316.0804130447705,150,,1,,,F91,A
Ti,4319.910475931321,50,,1,,,F91,A
Ti,4326.409279604012,25,,1,,,F91,A
Ti,4395.224392081468,20,,1,,,F91,A
Ti,4418.581884806552,30,,1,,,F91,A
Ti,4428.409617448808,110,,1,,,F91,A
Ti,4450.460750577659,110,,1,,,F91,A
Ti,4452.212237823579,70,,1,,,F91,A
Ti,4454.630910698018,110,,1,,,F91,A
Ti,4455.017018115649,40,,1,,,F91,A
Ti,4456.636468665267,120,,1,,,F91,A
Ti,4458.746055595282,140,,1,,,F91,A
Ti,4467.127387662589,40,,1,,,F91,A
Ti,4472.559899412743,30,,1,,,F91,A
Ti,4482.584689460796,70,,1,,,F91,A
Ti,4490.415869323218,30,,1,,,F91,A
Ti,4497.475834758329,30,,1,,,F91,A
Ti,4514.068454913373,100,,1,,,F91,A
Ti,4519.3579280140375,130,,1,,,F91,A
Ti,4524.134258315872,130,,1,,,F91,A
Ti,4528.644514606097,100,,1,,,F91,A
Ti,4534.58016806795,800,,1,,,F91,A
Ti,4536.116596088045,500,,1,,,F91,A
Ti,4536.9088167900645,300,,1,,,F91,A
Ti,4537.259914602091,150,,1,,,F91,A
Ti,4537.380948320894,150,,1,,,F91,A
Ti,4546.031358410457,90,,1,,,F91,A
Ti,4550.108494456883,120,,1,,,F91,A
Ti,4553.799522982836,120,,1,,,F91,A
Ti,4556.830367590076,90,,1,,,F91,A
Ti,4618.6325988015005,120,,1,,,F91,A
Ti,4624.463225296325,60,,1,,,F91,A
Ti,4630.703966354021,25,,1,,,F91,A
Ti,4640.730763996585,30,,1,,,F91,A
Ti,4641.030847731372,30,,1,,,F91,A
Ti,4641.30992560506,25,,1,,,F91,A
Ti,4657.843539707849,90,,1,,,F91,A
Ti,4668.962643392902,110,,1,,,F91,A
Ti,4683.290643521181,120,,1,,,F91,A
Ti,4692.716275444758,25,,1,,,F91,A
Ti,4700.1473506778175,25,,1,,,F91,A
Ti,4759.521939656618,40,,1,,,F91,A
Ti,4760.673261464945,40,,1,,,F91,A
Ti,4821.831363029834,25,,1,,,F91,A
Ti,4842.300089742477,60,,1,,,F91,A
Ti,4857.441326904462,40,,1,,,F91,A
Ti,4869.693756250396,25,,1,,,F91,A
Ti,4871.56227927983,30,,1,,,F91,A
Ti,4886.520466755577,50,,1,,,F91,A
Ti,4901.351619435471,50,,1,,,F91,A
Ti,4915.062459103359,40,,1,,,F91,A
Ti,4983.196549160967,700,,1,,P,F91,A
Ti,4992.535166878803,600,,1,,P,F91,A
Ti,5000.972532207431,500,,1,,,F91,A
Ti,5002.459949213193,30,,1,,,F91,A
Ti,5008.679693030173,500,,1,,P,F91,A
Ti,5014.75639686244,30,,1,,,F91,A
Ti,5015.661650694415,400,,1,,P,F91,A
Ti,5015.7506756570365,300,,1,,,F91,A
Ti,5017.6362043656645,70,,1,,,F91,A
Ti,5021.501288183444,110,,1,,,F91,A
Ti,5024.344085369419,110,,1,,,F91,A
Ti,5026.321639936421,70,,1,,,F91,A
Ti,5027.047843589311,40,,1,,,F91,A
Ti,5037.383742316196,150,,1,,,F91,A
Ti,5037.9448997036725,110,,1,,,F91,A
Ti,5039.878442010661,90,,1,,,F91,A
Ti,5041.437879399709,150,,1,,,F91,A
Ti,5066.140809052519,200,,1,,P,F91,A
Ti,5114.942504347602,25,,1,,,F91,A
Ti,5121.920463165767,30,,1,,,F91,A
Ti,5146.9714965481535,30,,1,,,F91,A
Ti,5148.990063365094,30,,1,,,F91,A
Ti,5153.698385515736,25,,1,,,F91,A
Ti,5175.26044120308,140,,1,,,F91,A
Ti,5194.494844289818,150,,1,,,F91,A
Ti,5211.914738566461,200,,1,,P,F91,A
Ti,5225.8386512231555,30,,1,,,F91,A
Ti,5226.467828036183,25,,1,,,F91,A
Ti,5514.138777737612,40,,1,,,F91,A
Ti,5515.959290667641,30,,1,,,F91,A
Ti,5516.147343652056,40,,1,,,F91,A
Ti,5645.784888199563,30,,1,,,F91,A
Ti,5663.804970913363,25,,1,,,F91,A
Ti,5868.163658066311,50,,1,,,F91,A
Ti,5901.01593925934,30,,1,,,F91,A
Ti,5954.89616538702,40,,1,,,F91,A
Ti,5967.567747032469,25,,1,,,F91,A
Ti,5980.28534196898,30,,1,,,F91,A
Ti,6000.761130542526,40,,1,,,F91,A
Ti,6259.925457412571,50,,1,,,F91,A
Ti,6260.531629044736,50,,1,,,F91,A
Ti,6262.923306232503,40,,1,,,F91,A
Ti,7211.530482064296,30,,1,,,F91,A
Ti,8428.947175939742,20,,1,,,F91,A
Ti,8437.404587977395,60,,1,,,F91,A
Ti,8438.093784536753,30,,1,,,F91,A
