element,wavelength,intensity,acc,state,source,note,reference,unit
Ti,2526.3874857257024,30,,2,,,HJLW82,A
Ti,3067.169325680633,110,,2,,d,HJLW82,A
Ti,3073.058882077317,50,,2,,,HJLW82,A
Ti,3073.928111842936,90,,2,,,HJLW82,A
Ti,3076.1737054968776,130,,2,,,HJLW82,A
Ti,3079.5946100559704,200,,2,,P,HJLW82,A
Ti,3088.988095095503,300,,2,,P,HJLW82,A
Ti,3162.196520509575,40,,2,,,HJLW82,A
Ti,3162.7636713872116,60,,2,,,HJLW82,A
Ti,3163.5518810821036,80,,2,,,HJLW82,A
Ti,3169.5174685234547,130,,2,,,HJLW82,A
Ti,3191.887426748919,80,,2,,,HJLW82,A
Ti,3203.5355326456092,60,,2,,,HJLW82,A
Ti,3218.053406968102,90,,2,,,HJLW82,A
Ti,3223.820947104548,110,,2,,,HJLW82,A
Ti,3229.6014912652176,40,,2,,,HJLW82,A
Ti,3230.1776452037193,60,,2,,,HJLW82,A
Ti,3230.413708277317,40,,2,,,HJLW82,A
Ti,3235.4980669862707,600,,2,,P,HJLW82,A
Ti,3237.5666198926947,400,,2,,P,HJLW82,A
Ti,3240.0242768936037,300,,2,,P,HJLW82,A
Ti,3242.9810674565156,200,,2,,,HJLW82,A
Ti,3249.5938360349182,100,,2,,,HJLW82,A
Ti,3252.89872018534,80,,2,,,HJLW82,A
Ti,3253.905989693171,100,,2,,,HJLW82,A
Ti,3255.241347009959,100,,2,,,HJLW82,A
Ti,3262.5773104810505,100,,2,,,HJLW82,A
Ti,3288.6562973231626,40,,2,,,HJLW82,A
Ti,3319.0284473767315,30,,2,,,HJLW82,A
Ti,3322.7054349862055,50,,2,,,HJLW82,A
Ti,3323.9477687117424,250,,2,,,HJLW82,A
Ti,3327.7747968995764,30,,2,,,HJLW82,A
Ti,3330.4685207358134,200,,2,,,HJLW82,A
Ti,3333.1232341920936,50,,2,,,HJLW82,A
Ti,3336.194059605404,150,,2,,,HJLW82,A
Ti,3341.354446980806,90,,2,,,HJLW82,A
Ti,3347.7601696939423,30,,2,,,HJLW82,A
Ti,3350.044784243938,400,,2,,P,HJLW82,A
Ti,3350.420885420357,1000,,2,,P,HJLW82,A
Ti,3362.246067570847,600,,2,,P,HJLW82,A
Ti,3373.82018404286,500,,2,,P,HJLW82,A
Ti,3381.301199376489,120,,2,,,HJLW82,A
Ti,3384.7941406115124,500,,2,,P,HJLW82,A
Ti,3388.866238118891,120,,2,,,HJLW82,A
Ti,3395.6060551173923,90,,2,,,HJLW82,A
Ti,3445.3634877735303,70,,2,,,HJLW82,A
Ti,3462.5531356845922,50,,2,,,HJLW82,A
Ti,3478.237379736572,50,,2,,,HJLW82,A
Ti,3492.126140436705,40,,2,,,HJLW82,A
Ti,3505.9578879893297,70,,2,,,HJLW82,A
Ti,3511.921504458679,50,,2,,,HJLW82,A
Ti,3686.3119467275724,250,,2,,P,HJLW82,A
Ti,3742.7663707369143,30,,2,,,HJLW82,A
Ti,3760.4272019330397,300,,2,,P,HJLW82,A
Ti,3762.453756485401,250,,2,,P,HJLW82,A
Ti,3901.7249511474893,40,,2,,,HJLW82,A
Ti,3914.6465028279486,40,,2,,,HJLW82,A
Ti,4396.306692870251,30,,2,,,HJLW82,A
