element,wavelength,intensity,acc,state,source,note,reference,unit
Tm,2553.5722073553015,40,,1,,,SMC73,A
Tm,2597.308096258675,15,,1,,,SMC73,A
Tm,2855.0507939781237,20,,1,,,SMC73,A
Tm,2974.133837796768,50,,1,,,SMC73,A
Tm,3082.0652634948224,40,,1,,,SMC73,A
Tm,3173.6225612548305,40,,1,,,SMC73,A
Tm,3247.951396700648,30,,1,,,SMC73,A
Tm,3351.003042032474,25,,1,,,SMC73,A
Tm,3411.080229114267,80,,1,,,SMC73,A
Tm,3413.6229152793417,30,,1,,,SMC73,A
Tm,3417.621994635258,30,,1,,,SMC73,A
Tm,3430.3694365686492,30,,1,,,SMC73,A
Tm,3468.560760951808,20,,1,,,SMC73,A
Tm,3477.7422457106863,30,,1,,,SMC73,A
Tm,3482.0264054714457,30,,1,,,SMC73,A
Tm,3488.43213997503,40,,1,,,SMC73,A
Tm,3501.00454567789,30,,1,,,SMC73,A
Tm,3518.6593312814593,25,,1,,,SMC73,A
Tm,3538.976843125947,40,,1,,,SMC73,A
Tm,3556.889706508412,20,,1,,,SMC73,A
Tm,3561.9890916578447,30,,1,,,SMC73,A
Tm,3564.9498960350666,40,,1,,,SMC73,A
Tm,3568.43084184527,40,,1,,,SMC73,A
Tm,3587.1469294724766,30,,1,,,SMC73,A
Tm,3639.502181050339,40,,1,,,SMC73,A
Tm,3719.0298820096077,800,,1,,P,SMC73,A
Tm,3745.187032752284,500,,1,,P,SMC73,A
Tm,3752.931151011918,150,,1,,,SMC73,A
Tm,3799.678949352029,80,,1,,,SMC73,A
Tm,3808.8594649791985,60,,1,,,SMC73,A
Tm,3827.5315836892087,30,,1,,,SMC73,A
Tm,3842.018557112861,30,,1,,,SMC73,A
Tm,3884.29316182588,700,,1,,P,SMC73,A
Tm,3888.510320255749,500,,1,,P,SMC73,A
Tm,3897.7818675907547,40,,1,,,SMC73,A
Tm,3917.64732783375,400,,1,,P,SMC73,A
Tm,3950.4493504378024,150,,1,,,SMC73,A
Tm,4025.4300044742745,20,,1,,,SMC73,A
Tm,4045.6795891930133,40,,1,,,SMC73,A
Tm,4095.4063152822005,1000,,1,,P,SMC73,A
Tm,4107.06353538598,1000,,1,,P,SMC73,A
Tm,4139.565518087399,110,,1,,,SMC73,A
Tm,4188.860154400693,900,,1,,P,SMC73,A
Tm,4204.97661586809,600,,1,,P,SMC73,A
Tm,4223.925863489027,40,,1,,,SMC73,A
Tm,4272.9844589211025,25,,1,,,SMC73,A
Tm,4299.6408517767,15,,1,,,SMC73,A
Tm,4361.2209450105975,250,,1,,P,SMC73,A
Tm,4387.734310629545,140,,1,,P,SMC73,A
Tm,4395.722530521412,20,,1,,,SMC73,A
Tm,4397.798107367971,14,,1,,,SMC73,A
Tm,4520.93236651461,15,,1,,,SMC73,A
Tm,4600.3765070668605,25,,1,,,SMC73,A
Tm,4683.302646872655,15,,1,,,SMC73,A
Tm,4734.732011803283,70,,1,,P,SMC73,A
Tm,4958.634665548946,14,,1,,,SMC73,A
Tm,5062.38375500429,15,,1,,,SMC73,A
Tm,5308.673939048887,60,,1,,P,SMC73,A
Tm,5633.055298128533,25,,1,,,SMC73,A
Tm,5677.496833273519,50,,1,,P,SMC73,A
Tm,5765.973801178258,20,,1,,,SMC73,A
Tm,5973.009285180272,14,,1,,,SMC73,A
Tm,6462.144743752023,20,,1,,,SMC73,A
Tm,7560.525751804374,14,,1,,,SMC73,A
