element,wavelength,intensity,acc,state,source,note,reference,unit
Tm,2480.9203301780553,90,,2,,,MCS75,A
Tm,2509.877421992479,150,,2,,,MCS75,A
Tm,2562.460412956883,60,,2,,,MCS75,A
Tm,2607.8817418837575,90,,2,,,MCS75,A
Tm,2625.1560745518277,80,,2,,,MCS75,A
Tm,2722.0405971043256,60,,2,,,MCS75,A
Tm,2795.46940707584,80,,2,,,MCS75,A
Tm,2798.140094501841,80,,2,,,MCS75,A
Tm,2828.798001289821,70,,2,,,MCS75,A
Tm,2870.118701483962,200,,2,,,MCS75,A
Tm,2891.8343438515553,70,,2,,,MCS75,A
Tm,2927.6436753040457,80,,2,,,MCS75,A
Tm,2936.8960916675996,70,,2,,,MCS75,A
Tm,2982.3980052140832,60,,2,,,MCS75,A
Tm,2991.460383788013,70,,2,,,MCS75,A
Tm,3016.226893647512,150,,2,,,MCS75,A
Tm,3074.0221366976707,70,,2,,,MCS75,A
Tm,3099.5488910323193,80,,2,,,MCS75,A
Tm,3132.2175536010423,800,,2,,P,MCS75,A
Tm,3134.8482520473817,250,,2,,,MCS75,A
Tm,3152.002809691162,200,,2,,,MCS75,A
Tm,3158.304485277579,150,,2,,,MCS75,A
Tm,3173.7986081232702,250,,2,,,MCS75,A
Tm,3237.79568112307,130,,2,,,MCS75,A
Tm,3241.2165956692234,200,,2,,,MCS75,A
Tm,3242.5269460279983,250,,2,,,MCS75,A
Tm,3259.0413639785857,200,,2,,,MCS75,A
Tm,3267.6336643077334,200,,2,,,MCS75,A
Tm,3268.3938678850445,130,,2,,,MCS75,A
Tm,3269.9842938193888,90,,2,,,MCS75,A
Tm,3277.8063892385658,120,,2,,,MCS75,A
Tm,3284.3981558049127,130,,2,,,MCS75,A
Tm,3286.6087483837878,130,,2,,,MCS75,A
Tm,3292.0001939451004,250,,2,,,MCS75,A
Tm,3303.4632689000196,200,,2,,,MCS75,A
Tm,3310.8052394073266,130,,2,,,MCS75,A
Tm,3363.629439963229,400,,2,,P,MCS75,A
Tm,3398.5288432656766,200,,2,,,MCS75,A
Tm,3426.116287943911,700,,2,,P,MCS75,A
Tm,3426.6664365064403,110,,2,,,MCS75,A
Tm,3430.9976062347087,90,,2,,,MCS75,A
Tm,3442.5407248803376,600,,2,,P,MCS75,A
Tm,3454.7040129019865,600,,2,,P,MCS75,A
Tm,3463.246323192718,1000,,2,,P,MCS75,A
Tm,3536.5861943329155,200,,2,,,MCS75,A
Tm,3537.6464820741203,90,,2,,,MCS75,A
Tm,3567.5446010315304,150,,2,,,MCS75,A
Tm,3609.85610759682,250,,2,,,MCS75,A
Tm,3644.7456099197543,110,,2,,,MCS75,A
Tm,3669.1922754409175,120,,2,,,MCS75,A
Tm,3701.371058112766,500,,2,,P,MCS75,A
Tm,3702.471358597936,400,,2,,P,MCS75,A
Tm,3726.177835462239,100,,2,,,MCS75,A
Tm,3735.240312813051,250,,2,,,MCS75,A
Tm,3762.457757580308,700,,2,,P,MCS75,A
Tm,3763.037916343447,500,,2,,P,MCS75,A
Tm,3796.887184501632,800,,2,,P,MCS75,A
Tm,3818.5331165126076,60,,2,,,MCS75,A
Tm,3839.348824739347,150,,2,,,MCS75,A
Tm,3849.171519636803,1000,,2,,P,MCS75,A
Tm,3884.6012464502405,200,,2,,,MCS75,A
Tm,3901.956014647347,80,,2,,,MCS75,A
Tm,3930.7539319918524,60,,2,,,MCS75,A
Tm,3959.281781286014,150,,2,,,MCS75,A
Tm,3997.712364731851,200,,2,,,MCS75,A
Tm,4201.168561557502,60,,2,,,MCS75,A
Tm,4243.410261486789,300,,2,,P,MCS75,A
Tm,4482.586690017626,60,,2,,,MCS75,A
Tm,4523.908195350551,30,,2,,,MCS75,A
Tm,4617.304228263146,30,,2,,,MCS75,A
Tm,5011.244412131219,20,,2,,,MCS75,A
Tm,5035.701270440218,20,,2,,,MCS75,A
