element,wavelength,intensity,acc,state,source,note,reference,unit
U,2636.3578909061807,120,,2,,,BW92b,A
U,2794.8032356400104,150,,2,,,BW92b,A
U,2803.431457130931,200,,2,,,BW92b,A
U,2807.991632153288,130,,2,,,BW92b,A
U,2818.833428292967,130,,2,,,BW92b,A
U,2821.997244917328,200,,2,,,BW92b,A
U,2829.813263609716,140,,2,,,BW92b,A
U,2832.940071692976,200,,2,,,BW92b,A
U,2866.568780328795,200,,2,,,BW92b,A
U,2890.5180014662656,250,,2,,,BW92b,A
U,2907.692472191513,150,,2,,,BW92b,A
U,2909.170857393004,150,,2,,,BW92b,A
U,2932.3188960194393,120,,2,,,BW92b,A
U,2942.823640822567,250,,2,,,BW92b,A
U,2944.8041586198738,150,,2,,,BW92b,A
U,2956.9713417665366,120,,2,,,BW92b,A
U,2968.850452975413,120,,2,,,BW92b,A
U,2971.9812735117794,120,,2,,,BW92b,A
U,3023.138712840745,130,,2,,,BW92b,A
U,3032.9182886013923,130,,2,,,BW92b,A
U,3051.1330914919986,120,,2,,,BW92b,A
U,3058.8771355570525,130,,2,,,BW92b,A
U,3063.476350121806,130,,2,,,BW92b,A
U,3073.7250581678945,120,,2,,,BW92b,A
U,3093.9524091085086,120,,2,,,BW92b,A
U,3103.3719037010187,120,,2,,,BW92b,A
U,3112.5703414132004,200,,2,,,BW92b,A
U,3125.907878919547,140,,2,,,BW92b,A
U,3150.202331084491,140,,2,,,BW92b,A
U,3230.4827267184987,150,,2,,,BW92b,A
U,3233.1404368969643,140,,2,,,BW92b,A
U,3292.332282999679,150,,2,,,BW92b,A
U,3306.8953899452335,200,,2,,,SPMR72,A
U,3425.5927465700306,120,,2,,,SPMR72,A
U,3483.541815759857,140,,2,,,SPMR72,A
U,3534.6315639182208,130,,2,,,SPMR72,A
U,3551.8926494346756,250,,2,,,SPMR72,A
U,3579.799031627243,130,,2,,,SPMR72,A
U,3671.172915733342,600,,2,,P,SPMR72,A
U,3702.627501240446,200,,2,,,SPMR72,A
U,3739.161885062318,120,,2,,,SPMR72,A
U,3747.5426770374515,140,,2,,,SPMR72,A
U,3749.8000945041617,200,,2,,,SPMR72,A
U,3783.9743476939198,400,,2,,P,SPMR72,A
U,3794.2366584082233,120,,2,,,SPMR72,A
U,3827.6540172624227,150,,2,,,SPMR72,A
U,3832.606275354645,400,,2,,P,SPMR72,A
U,3855.798138124731,500,,2,,P,PKE80,A
U,3860.726290748869,1000,,2,,P,PKE80,A
U,3867.0740332962023,400,,2,,P,PKE80,A
U,3875.1973637415226,130,,2,,,PKE80,A
U,3879.2444751652656,130,,2,,,PKE80,A
U,3882.615300966034,200,,2,,,PKE80,A
U,3891.5246483609008,400,,2,,P,PKE80,A
U,3893.844785804648,130,,2,,,PKE80,A
U,3900.9432363231317,130,,2,,,PKE80,A
U,3933.196703869103,400,,2,,P,PKE80,A
U,3967.705200102825,120,,2,,,SPMR72,A
U,3986.9818085566244,250,,2,,,PKE80,A
U,4018.914508140348,120,,2,,,PKE80,A
U,4051.248325510169,300,,2,,P,PKE80,A
U,4063.7545765307814,200,,2,,,PKE80,A
U,4091.350095029106,400,,2,,P,PKE80,A
U,4117.322770045327,150,,2,,,PKE80,A
U,4172.829318181434,300,,2,,P,PKE80,A
U,4242.924726946767,200,,2,,P,PKE80,A
U,4342.974378084014,140,,2,,P,PKE80,A
U,4473.653903867374,120,,2,,,PKE80,A
U,4544.9695625656095,130,,2,,P,PKE80,A
