element,wavelength,intensity,acc,state,source,note,reference,unit
V,2688.7961421402474,300,,2,,P,ICL88,A
V,2701.7824401152598,200,,2,,P,ICL88,A
V,2707.020772186542,140,,2,,,ICL88,A
V,2716.5131885690066,150,,2,,,ICL88,A
V,2892.5385270309566,250,,2,,,ICL88,A
V,2893.3277323428074,140,,2,,,ICL88,A
V,2893.5467893334326,250,,2,,,ICL88,A
V,2894.2019597924186,400,,2,,P,ICL88,A
V,2907.3523835875317,250,,2,,,ICL88,A
V,2908.3606462809944,130,,2,,,ICL88,A
V,2909.7089976224497,600,,2,,P,ICL88,A
V,2910.9153119929156,200,,2,,,ICL88,A
V,2911.2844081883845,140,,2,,,ICL88,A
V,2911.9575836433473,150,,2,,,ICL88,A
V,2924.9199643867582,600,,2,,P,ICL88,A
V,2925.533124411722,400,,2,,P,ICL88,A
V,2931.709736935083,200,,2,,,ICL88,A
V,2942.2794985758924,250,,2,,,ICL88,A
V,2942.406531783565,120,,2,,,ICL88,A
V,2945.4773346405013,300,,2,,,ICL88,A
V,2952.9782967218202,150,,2,,,ICL88,A
V,2969.2885677841955,150,,2,,,ICL88,A
V,3094.0494347952485,1000,,2,,P,ICL88,A
V,3103.241869251833,800,,2,,P,ICL88,A
V,3111.6611003792677,700,,2,,P,ICL88,A
V,3119.330133886197,500,,2,,P,ICL88,A
V,3126.237966511181,400,,2,,P,ICL88,A
V,3131.229291252279,140,,2,,,ICL88,A
V,3134.297105708214,110,,2,,,ICL88,A
V,3188.6895744685735,110,,2,,,ICL88,A
V,3189.494789054893,140,,2,,,ICL88,A
V,3191.6593659611153,200,,2,,P,ICL88,A
V,3268.6959487827444,300,,2,,,ICL88,A
V,3272.1188655441665,250,,2,,,ICL88,A
V,3277.1262069905833,200,,2,,P,ICL88,A
V,3518.35724936688,150,,2,,,ICL88,A
V,3546.2638211220906,150,,2,,,ICL88,A
V,3557.8719732997893,150,,2,,,ICL88,A
V,3590.843934883722,150,,2,,,ICL88,A
V,3593.102549192406,130,,2,,,ICL88,A
