element,wavelength,intensity,acc,state,source,note,reference,unit
W,2091.181466693869,200,,1,,,MCS75,A
W,2102.243736238989,150,,1,,,MCS75,A
W,2183.6210424677643,60,,1,,,MCS75,A
W,2250.5359357982925,50,,1,,,MCS75,A
W,2278.3222637643917,60,,1,,,MCS75,A
W,2295.23615237455,60,,1,,d,MCS75,A
W,2313.92047836362,50,,1,,,MCS75,A
W,2322.3824476168334,50,,1,,,MCS75,A
W,2361.2015571264237,70,,1,,,MCS75,A
W,2363.832178737493,100,,1,,,MCS75,A
W,2375.23487919027,60,,1,,,MCS75,A
W,2385.58733921083,80,,1,,,MCS75,A
W,2398.5004184435406,70,,1,,,MCS75,A
W,2398.750478187775,70,,1,,,MCS75,A
W,2406.352296469527,200,,1,,d,MCS75,A
W,2416.4547189440927,70,,1,,,MCS75,A
W,2424.986770140948,100,,1,,,MCS75,A
W,2431.8584256070326,70,,1,,,MCS75,A
W,2434.7591253306773,70,,1,,,MCS75,A
W,2436.7396033803875,200,,1,,,MCS75,A
W,2444.84156160908,70,,1,,,MCS75,A
W,2452.783485110534,100,,1,,,MCS75,A
W,2455.504144930104,50,,1,,,MCS75,A
W,2455.7642080245964,70,,1,,,MCS75,A
W,2456.29433665296,90,,1,,,MCS75,A
W,2457.3145842496515,90,,1,,,MCS75,A
W,2460.0852569607055,130,,1,,,MCS75,A
W,2463.576105182248,60,,1,,,MCS75,A
W,2467.6370928491738,150,,1,,,MCS75,A
W,2473.2984713624546,60,,1,,,MCS75,A
W,2474.938871139405,140,,1,,,MCS75,A
W,2480.9203301780553,100,,1,,,MCS75,A
W,2481.7505328488924,50,,1,,,MCS75,A
W,2482.2306500740606,150,,1,,,MCS75,A
W,2482.8908112801,60,,1,,d,MCS75,A
W,2485.531456351716,70,,1,,,MCS75,A
W,2488.2921311661994,50,,1,,,MCS75,A
W,2496.0540307565716,70,,1,,,MCS75,A
W,2505.496346078466,80,,1,,,MCS75,A
W,2522.1204340772433,90,,1,,,MCS75,A
W,2524.2109491830192,90,,1,,,MCS75,A
W,2528.5620220198007,50,,1,,,MCS75,A
W,2534.443473745859,90,,1,,,MCS75,A
