element,wavelength,intensity,acc,state,source,note,reference,unit
Xe,1192.0376,25,,1,,P,BVHU01,A
Xe,1250.2091,25,,1,,P,BVHU01,A
Xe,1295.5878,100,,1,,P,BVHU01,A
Xe,1469.6123,60,,1,,P,BVHU01,A
Xe,3507.7983868216493,1,,1,,,HM33,A
Xe,3550.9300880594583,1,,1,,,HM33,A
Xe,3555.1112234857337,1,,1,,,HM33,A
Xe,3611.4065295941573,2,,1,,,HM33,A
Xe,3614.1472756380995,1,,1,,,HM33,A
Xe,3634.152723575253,1,,1,,,HM33,A
Xe,3671.0127720468336,1,,1,,,HM33,A
Xe,3687.007136477801,4,,1,,,HM33,A
Xe,3694.5992090174145,4,,1,,,HM33,A
Xe,4735.549240150184,60,,1,,,HM33,A
Xe,4794.0325879699085,15,,1,,,HM33,A
Xe,4808.43761656874,50,,1,,,HM33,A
Xe,4831.133965511861,40,,1,,,HM33,A
Xe,4844.717766256292,30,,1,,,HM33,A
Xe,4917.9582701461195,50,,1,,,HM33,A
Xe,4924.602131029485,50,,1,,,HM33,A
Xe,5029.759604076408,20,,1,,,HM33,A
Xe,5394.38205339945,10,,1,,,HM33,A
Xe,5568.251027096108,10,,1,,,HM33,A
Xe,5697.417453411635,10,,1,,,HM33,A
Xe,5825.593634490865,30,,1,,,HM33,A
Xe,5826.50389154997,15,,1,,,HM33,A
Xe,5876.738080258175,10,,1,,,HM33,A
Xe,5896.713723714544,10,,1,,,HM33,A
Xe,5935.904797978447,10,,1,,,HM33,A
Xe,6180.103861544448,15,,1,,,HM33,A
Xe,6181.464246558885,12,,1,,,HM33,A
Xe,6184.2250279206655,30,,1,,,HM33,A
Xe,6200.069512488991,10,,1,,,HM33,A
Xe,6287.8443629779185,10,,1,,,HM33,A
Xe,6319.903442311631,50,,1,,,HM33,A
Xe,6471.586419872994,30,,1,,,HM33,A
Xe,6474.727310144509,15,,1,,,HM33,A
Xe,6489.651540533809,12,,1,,,HM33,A
Xe,6500.614648302643,10,,1,,,HM33,A
Xe,6506.076196575888,20,,1,,h,HM33,A
Xe,6535.064414996144,10,,1,,,HM33,A
Xe,6597.4821146968525,10,,1,,,HM33,A
Xe,6670.862929520503,15,,1,,,HM33,A
Xe,6729.969700259187,20,,1,,,HM33,A
Xe,6829.307895441823,20,,1,,,HM33,A
Xe,6874.110615512967,10,,1,,,HM33,A
Xe,6884.163469956979,30,,1,,,HM33,A
Xe,6927.545789368385,10,,1,,,HM33,A
Xe,6978.210179276681,10,,1,,,HM33,A
