element,wavelength,intensity,acc,state,source,note,reference,unit
Y,2949.31533840451,40,,1,,,P77,A
Y,2965.8776740729118,40,,1,,,P77,A
Y,2975.5041970867096,50,,1,,,P77,A
Y,2985.1727332879495,80,,1,,,P77,A
Y,3046.297815840173,20,,1,,,P77,A
Y,3486.7746911343484,15,,1,,,P77,A
Y,3553.76085675975,50,,1,,,P77,A
Y,3559.813500665362,15,,1,,,P77,A
Y,3572.5069495362377,20,,1,,,P77,A
Y,3577.1292058637628,25,,1,,,P77,A
Y,3588.8233853713086,30,,1,,,P77,A
Y,3593.996792428004,300,,1,,,P77,A
Y,3622.0294216314387,400,,1,,,P77,A
Y,3693.6319449357716,15,,1,,,P77,A
Y,4041.030306698842,90,,1,,,P77,A
Y,4048.8344595408157,250,,1,,,P77,A
Y,4078.573667120264,900,,1,,P,P77,A
Y,4084.9214197681513,200,,1,,,P77,A
Y,4103.585574567891,1000,,1,,P,P77,A
Y,4107.606685443131,6,,1,,,P77,A
Y,4129.52774319318,900,,1,,P,P77,A
Y,4144.073764575875,800,,1,,P,P77,A
Y,4168.7525902753205,250,,1,,,P77,A
Y,4175.3744223852955,200,,1,,,P77,A
Y,4219.052513709928,15,,1,,,P77,A
Y,4221.883297739637,30,,1,,,P77,A
Y,4237.187537292707,200,,1,,,P77,A
Y,4252.463770430689,100,,1,,,P77,A
Y,4303.566940963627,40,,1,,h,P77,A
Y,4350.07284906627,40,,1,,h,P77,A
Y,4477.04514766538,15,,1,,,P77,A
Y,4478.277490645282,20,,1,,,P77,A
Y,4478.767627059734,15,,1,,,P77,A
Y,4488.788416286915,30,,1,,,P77,A
Y,4507.281564974987,50,,1,,,P77,A
Y,4528.578496216617,90,,1,,,P77,A
Y,4529.122647791087,40,,1,,,P77,A
Y,4597.886812786284,13,,1,,,P77,A
Y,4645.069974837997,200,,1,,,P77,A
Y,4659.695056488246,20,,1,,h,P77,A
Y,4676.228671837759,200,,1,,,P77,A
Y,4698.186803145772,20,,1,,,P77,A
Y,4729.909664413676,15,,1,,,P77,A
Y,4754.19245006579,15,,1,,,P77,A
Y,4762.382739293901,40,,1,,,P77,A
Y,4788.286981332555,15,,1,,,P77,A
Y,4800.716457126596,20,,1,,,P77,A
Y,4841.292807891226,80,,1,,,P77,A
Y,4847.096431874487,60,,1,,,P77,A
Y,4854.112395257844,40,,1,,,P77,A
Y,4861.273399410489,30,,1,,,P77,A
Y,5136.708614897167,20,,1,,,P77,A
Y,5242.339288638166,20,,1,,,P77,A
Y,5439.820845242887,20,,1,,,P77,A
Y,5468.068800068403,70,,1,,,P77,A
Y,5505.077224756068,30,,1,,,P77,A
Y,5529.1810161204,70,,1,,,P77,A
Y,5579.050071158709,20,,1,,,P77,A
Y,5583.509328220995,60,,1,,,P77,A
Y,5631.786940438082,60,,1,,,P77,A
Y,5708.384547871146,15,,1,,,P77,A
Y,6026.031275498664,100,,1,,,P77,A
Y,6193.527660858241,120,,1,,,P77,A
Y,6224.395398364122,30,,1,,,P77,A
Y,6436.89858865337,100,,1,,,P77,A
Y,6689.519222531478,15,,1,,,P77,A
Y,6795.682350212215,20,,1,,,P77,A
Y,15624.469261052507,200,,1,,,P77,A
Y,17128.74290632951,400,,1,,,P77,A
Y,17371.72464398617,250,,1,,,P77,A
Y,17427.858755446563,600,,1,,P,P77,A
Y,17668.381791906668,500,,1,,,P77,A
Y,17908.3676776234,1000,,1,,P,P77,A
Y,18055.010771788504,1000,,1,,P,P77,A
Y,18120.515575449852,1000,,1,,,P77,A
Y,18187.003661611994,900,,1,,,P77,A
Y,21266.56691169568,800,,1,,P,P77,A
Y,22550.319626873217,700,,1,,P,P77,A
Y,23997.357296208116,500,,1,,P,P77,A
Y,24928.06867477071,400,,1,,,P77,A
