element,wavelength,intensity,acc,state,source,note,reference,unit
Yb,2465.2865210511354,25,,1,,P,MT78,A
Yb,2672.796087502101,20,,1,,P,MT78,A
Yb,3306.256018349941,7,,1,,,MT78,A
Yb,3320.4198210653217,4,,1,,,MT78,A
Yb,3388.5311477972573,8,,1,,,MT78,A
Yb,3419.424481196488,8,,1,,,MT78,A
Yb,3427.080548336079,20,,1,,,MT78,A
Yb,3432.1449161314713,13,,1,,,MT78,A
Yb,3453.44167157533,5,,1,,,MT78,A
Yb,3459.4362926479116,7,,1,,,MT78,A
Yb,3461.3148007281484,20,,1,,,MT78,A
Yb,3465.4169103777363,130,,1,,P,MT78,A
Yb,3635.618122798485,6,,1,,,MT78,A
Yb,3649.2468367557617,4,,1,,,MT78,A
Yb,3656.8279034803018,5,,1,,,MT78,A
Yb,3701.6911455254453,4,,1,,,MT78,A
Yb,3735.814469792133,10,,1,,,MT78,A
Yb,3771.225157139762,30,,1,,,MT78,A
Yb,3775.454314866611,4,,1,,,MT78,A
Yb,3841.0562931332975,9,,1,,,MT78,A
Yb,3874.0103377835076,20,,1,,,MT78,A
Yb,3902.0160311408845,20,,1,,,MT78,A
Yb,3912.4408964928784,8,,1,,,MT78,A
Yb,3989.1800140760447,1000,,1,,P,MT78,A
Yb,3992.0758118076687,50,,1,,P,MT78,A
Yb,4053.4907442137533,4,,1,,,MT78,A
Yb,4090.8980701948485,25,,1,,,MT78,A
Yb,4150.300486415174,25,,1,,,MT78,A
Yb,4175.801540568307,7,,1,,,MT78,A
Yb,4233.229440698031,7,,1,,,MT78,A
Yb,4279.008129175936,4,,1,,,MT78,A
Yb,4307.243961129106,7,,1,,,MT78,A
Yb,4440.504981265519,25,,1,,,MT78,A
Yb,4483.749013540166,5,,1,,h,MT78,A
Yb,4565.299727967248,5,,1,,h,MT78,A
Yb,4577.562146013763,40,,1,,P,MT78,A
Yb,4583.709859884846,11,,1,,,MT78,A
Yb,4590.567771939874,4,,1,,,MT78,A
Yb,4592.191224604618,8,,1,,,MT78,A
Yb,4783.277580659961,9,,1,,h,MT78,A
Yb,4936.953590953974,40,,1,,P,MT78,A
Yb,4968.364392125655,8,,1,,,MT78,A
Yb,5070.6350699822915,4,,1,,,MT78,A
Yb,5075.832528281204,12,,1,,,MT78,A
Yb,5213.135081464581,5,,1,,,MT78,A
Yb,5245.650219247056,6,,1,,,MT78,A
Yb,5278.589479155676,8,,1,,h,MT78,A
Yb,5540.6762554292845,5,,1,,h,MT78,A
Yb,5558.094164290049,130,,1,,P,MT78,A
Yb,5721.664295195027,12,,1,,,MT78,A
Yb,6490.951909147607,20,,1,,,MT78,A
Yb,6669.76261736223,10,,1,,,MT78,A
Yb,6801.580024281592,40,,1,,P,MT78,A
Yb,7701.725944686681,40,,1,,P,MT78,A
