element,wavelength,intensity,acc,state,source,note,reference,unit
Zr,2815.776639577788,200,,1,,,J98,A
Zr,2838.1064074899946,200,,1,,,J98,A
Zr,2876.870454423237,140,,1,,,J98,A
Zr,2961.779600673345,90,,1,,,J98,A
Zr,2986.3070309726454,250,,1,,,J98,A
Zr,3012.6689576060567,250,,1,,,J98,A
Zr,3030.4456371555266,250,,1,,,J98,A
Zr,3121.7007627044013,100,,1,,,J98,A
Zr,3133.0177660425506,100,,1,,,J98,A
Zr,3192.188507000857,150,,1,,,J98,A
Zr,3212.995056666161,150,,1,,,J98,A
Zr,3235.107962722555,200,,1,,,J98,A
Zr,3251.382314482087,90,,1,,,J98,A
Zr,3261.102915790998,60,,1,,,J98,A
Zr,3283.7299767052864,90,,1,,,J98,A
Zr,3448.404309712739,150,,1,,,J98,A
Zr,3456.9466193332037,60,,1,,,J98,A
Zr,3472.2337548400797,150,,1,,,J98,A
Zr,3479.8308110764306,60,,1,,,J98,A
Zr,3510.3800866094084,300,,1,,,J98,A
Zr,3520.6658754164,600,,1,,P,J98,A
Zr,3534.28857084702,130,,1,,,J98,A
Zr,3536.22509634095,60,,1,,,J98,A
Zr,3548.7524967916324,500,,1,,P,J98,A
Zr,3550.801053021896,60,,1,,,J98,A
Zr,3551.5302510273063,200,,1,,,J98,A
Zr,3567.173500196736,300,,1,,,J98,A
Zr,3576.86713462668,300,,1,,P,J98,A
Zr,3587.3729909463336,250,,1,,,J98,A
Zr,3602.275044529823,1000,,1,,P,J98,A
Zr,3624.955218372893,300,,1,,,J98,A
Zr,3635.241020061128,90,,1,,,J98,A
Zr,3662.3023962745237,70,,1,,,J98,A
Zr,3664.7490635321988,300,,1,,P,J98,A
Zr,3765.5175949528843,140,,1,,,J98,A
Zr,3767.843231455685,140,,1,,,J98,A
Zr,3781.6670158720744,200,,1,,,J98,A
Zr,3792.532991732554,150,,1,,,J98,A
Zr,3823.5574939995213,150,,1,,,J98,A
Zr,3837.110210677715,600,,1,,P,J98,A
Zr,3848.1592418774644,150,,1,,,J98,A
Zr,3850.40185724099,150,,1,,,J98,A
Zr,3865.027871559587,800,,1,,P,J98,A
Zr,3865.4879978759827,200,,1,,,J98,A
Zr,3878.7546406392325,300,,1,,,J98,A
Zr,3880.208039800058,60,,1,,,J98,A
Zr,3886.583791031481,400,,1,,,J98,A
Zr,3891.479135857038,800,,1,,P,J98,A
Zr,3892.5434282593114,600,,1,,P,J98,A
Zr,3901.677938227655,110,,1,,,J98,A
Zr,3922.95978853842,150,,1,,,J98,A
Zr,3930.702917961075,300,,1,,,J98,A
Zr,3967.843138079021,140,,1,,,J98,A
Zr,3969.4405778860023,300,,1,,,J98,A
Zr,3974.688022743132,200,,1,,,J98,A
Zr,3976.4805163430196,60,,1,,,J98,A
Zr,4008.791417774778,60,,1,,,J98,A
Zr,4025.176934696977,110,,1,,,J98,A
Zr,4026.112192571809,200,,1,,,J98,A
Zr,4028.4018239080865,300,,1,,,J98,A
Zr,4030.148305502227,70,,1,,,J98,A
Zr,4031.2336047852637,140,,1,,,J98,A
Zr,4037.0902199504367,110,,1,,,J98,A
Zr,4043.423966966246,70,,1,,,J98,A
Zr,4044.7753397462766,150,,1,,,J98,A
Zr,4045.7656129238558,140,,1,,,J98,A
Zr,4051.683245505865,60,,1,,,J98,A
Zr,4056.2355015633834,200,,1,,,J98,A
Zr,4056.9126884245957,150,,1,,,J98,A
Zr,4062.7332946750835,90,,1,,,J98,A
Zr,4065.3620201708986,400,,1,,,J98,A
Zr,4073.9113800078435,600,,1,,P,J98,A
Zr,4076.138994965066,90,,1,,,J98,A
Zr,4077.738436528501,60,,1,,,J98,A
Zr,4079.519928371116,70,,1,,,J98,A
Zr,4082.424730387404,600,,1,,P,J98,A
Zr,4109.617240919834,60,,1,,,J98,A
Zr,4153.8754750948,60,,1,,,J98,A
Zr,4167.605272865899,110,,1,,,J98,A
Zr,4188.804138896808,200,,1,,,J98,A
Zr,4196.007132684483,110,,1,,,J98,A
Zr,4202.699985542319,150,,1,,,J98,A
Zr,4215.115423349295,110,,1,,,J98,A
Zr,4229.006270764205,600,,1,,P,J98,A
Zr,4237.31457248943,60,,1,,,J98,A
Zr,4240.56847405602,600,,1,,P,J98,A
Zr,4241.594758423779,200,,1,,,J98,A
Zr,4242.45699734171,200,,1,,,J98,A
Zr,4242.943132046736,300,,1,,,J98,A
Zr,4269.282432516476,90,,1,,,J98,A
Zr,4283.469366326175,150,,1,,,J98,A
Zr,4296.061858955487,150,,1,,,J98,A
Zr,4304.1551041407665,90,,1,,,J98,A
Zr,4342.414722699714,150,,1,,,J98,A
Zr,4349.177600474368,300,,1,,,J98,A
Zr,4362.093187268755,90,,1,,,J98,A
Zr,4508.442888352515,150,,1,,,J98,A
Zr,4537.083865556676,150,,1,,,J98,A
Zr,4554.354677685072,60,,1,,,J98,A
Zr,4556.4712675173205,60,,1,,,J98,A
Zr,4576.865951937864,140,,1,,,J98,A
Zr,4635.351262974567,200,,1,,,J98,A
Zr,4689.183288885539,700,,1,,P,J98,A
Zr,4689.834470719281,150,,1,,,J98,A
Zr,4711.464511576667,500,,1,,P,J98,A
Zr,4740.873727961976,400,,1,,,J98,A
Zr,4773.720908790775,250,,1,,,J98,A
Zr,4786.332434812975,60,,1,,,J98,A
Zr,4807.289295394133,70,,1,,,J98,A
Zr,4817.050025532365,200,,1,,,J98,A
Zr,4825.710448198718,80,,1,,,J98,A
Zr,4852.792025745449,60,,1,,,J98,A
Zr,5048.067739018979,70,,1,,,J98,A
Zr,5066.393880053599,100,,1,,,J98,A
Zr,5079.74562626958,130,,1,,,J98,A
Zr,6129.246470059767,200,,1,,P,J98,A
