element,wavelength,intensity,acc,state,source,note,reference,unit
Zr,2569.6832080788863,300,,2,,P,J98,A
Zr,2572.269851552732,400,,2,,P,J98,A
Zr,2679.471778031288,300,,2,,P,J98,A
Zr,2700.9742346834137,130,,2,,,J98,A
Zr,2723.4599589709846,250,,2,,P,J98,A
Zr,2733.5745397275264,90,,2,,,J98,A
Zr,2735.7050837932165,250,,2,,P,J98,A
Zr,2743.4090524144813,200,,2,,,J98,A
Zr,2746.7108967646313,120,,2,,,J98,A
Zr,2753.0605215282535,120,,2,,,J98,A
Zr,2759.666213243734,90,,2,,,J98,A
Zr,2826.4343907058064,90,,2,,,J98,A
Zr,2845.4573094527877,120,,2,,,J98,A
Zr,2849.0692445670493,40,,2,,,J98,A
Zr,3028.96824798468,90,,2,,,J98,A
Zr,3055.770315352353,120,,2,,,J98,A
Zr,3107.5270046575743,120,,2,,,J98,A
Zr,3130.129999450561,90,,2,,,J98,A
Zr,3130.7171553054454,90,,2,,,J98,A
Zr,3139.6375239217195,120,,2,,,J98,A
Zr,3165.27934069341,90,,2,,,J98,A
Zr,3166.9437835887557,150,,2,,,J98,A
Zr,3183.8312799919113,150,,2,,,J98,A
Zr,3215.1686368403975,130,,2,,,J98,A
Zr,3232.676312868009,110,,2,,,J98,A
Zr,3242.03081336981,130,,2,,,J98,A
Zr,3273.2171597394426,90,,2,,,J98,A
Zr,3274.0423808001274,200,,2,,,J98,A
Zr,3280.2610469987103,250,,2,,P,J98,A
Zr,3285.7105075893364,150,,2,,,J98,A
Zr,3306.1559915051703,90,,2,,,J98,A
Zr,3307.281293517427,150,,2,,,J98,A
Zr,3341.566504000692,130,,2,,,J98,A
Zr,3357.104683786534,130,,2,,,J98,A
Zr,3358.2789998168155,90,,2,,,J98,A
Zr,3388.8952459378497,100,,2,,,J98,A
Zr,3389.3213607969656,130,,2,,,J98,A
Zr,3392.9993522997925,1000,,2,,P,J98,A
Zr,3394.146661625418,100,,2,,,J98,A
Zr,3405.857820069897,100,,2,,,J98,A
Zr,3411.275281747847,130,,2,,,J98,A
Zr,3431.5647594248103,200,,2,,,J98,A
Zr,3439.270841272173,800,,2,,P,J98,A
Zr,3458.606068110949,70,,2,,,J98,A
Zr,3464.0595431773486,140,,2,,,J98,A
Zr,3480.437975443156,200,,2,,P,J98,A
Zr,3482.2064542171315,250,,2,,P,J98,A
Zr,3484.584097967708,130,,2,,,J98,A
Zr,3497.2615315469316,700,,2,,P,J98,A
Zr,3506.724095650557,140,,2,,,J98,A
Zr,3526.8715585687623,80,,2,,,J98,A
Zr,3543.68912217071,110,,2,,,J98,A
Zr,3553.02165601984,300,,2,,P,J98,A
Zr,3557.6659173324815,400,,2,,P,J98,A
Zr,3573.5442314488073,400,,2,,P,J98,A
Zr,3577.9304236580974,250,,2,,P,J98,A
Zr,3589.054448209372,80,,2,,,J98,A
Zr,3612.977957334564,120,,2,,,J98,A
Zr,3614.184285712953,200,,2,,,J98,A
Zr,3615.8597418192503,200,,2,,,J98,A
Zr,3675.819083297376,140,,2,,,J98,A
Zr,3699.275485856996,150,,2,,,J98,A
Zr,3710.3825194245082,130,,2,,,J98,A
Zr,3747.0705479027956,100,,2,,,J98,A
Zr,3752.715091905604,150,,2,,,J98,A
Zr,3837.909429902277,250,,2,,P,J98,A
Zr,3844.1681468411857,100,,2,,,J98,A
Zr,3959.4018143253,150,,2,,,J98,A
Zr,3992.31787849469,140,,2,,,J98,A
Zr,4000.1580386087844,140,,2,,,J98,A
Zr,4030.8765063105925,70,,2,,,J98,A
Zr,4046.817903216847,70,,2,,,J98,A
Zr,4049.872745992205,110,,2,,,J98,A
Zr,4150.432522929074,200,,2,,P,J98,A
Zr,4162.437843378007,70,,2,,,J98,A
Zr,4210.231070774661,110,,2,,,J98,A
